,model,features,dropped isna columns,std_test,std_train,RMSE_test,RMSE_train,training_score,test_score
0,LinearRegression,"['Week', 'Year', 'Fall', 'Winter', 'Spring', 'Summer']",True,26.95752101173027,22.609005475457778,27.02235606225712,22.607984914124952,1.0,1.0
1,LinearRegression,"['Week', 'Year', 'Fall', 'Winter', 'Spring', 'Summer', 'Influenza_Pneumonia']",True,7.563781690093803,7.423144704885143,7.572705104267073,7.422809627145336,1.0,1.0
2,LinearRegression,"['Week', 'Year', 'Fall', 'Winter', 'Spring', 'Summer', 'Influenza_Pneumonia', 'Respiratory']",True,7.320982540882033,7.335158923602916,7.324360765583916,7.334827817505615,1.0,1.0
3,LinearRegression,"['Week', 'Year', 'Fall', 'Winter', 'Spring', 'Summer', 'Influenza_Pneumonia', 'Influenza_Pneumonia_Squared', 'Respiratory']",True,8.599740449534796,7.234708032869321,8.608057117953608,7.234381461084447,1.0,1.0
4,LinearRegression,"['Week', 'Year', 'Fall', 'Winter', 'Spring', 'Summer', 'Influenza_Pneumonia', 'Influenza_Pneumonia_SqRoot', 'Respiratory']",True,7.475697155421642,7.239519944500215,7.482359887357666,7.23919315550758,1.0,1.0
5,LinearRegression,"['Week', 'Year', 'Fall', 'Winter', 'Spring', 'Summer', 'Influenza_Pneumonia', 'Respiratory', 'Nat_Cause', 'Septicemia', 'Cancer', 'Diabetes', 'Alzheimer', 'COPD', 'Kidney', 'Other', 'Heart', 'Stroke']",True,7.056006208261551,7.066181274814884,7.055709229092746,7.065862310259468,1.0,1.0
6,RandomForestClassifier,"['Week', 'Year', 'Fall', 'Winter', 'Spring', 'Summer', 'Influenza_Pneumonia', 'Respiratory', 'Nat_Cause', 'Septicemia', 'Cancer', 'Diabetes', 'Alzheimer', 'COPD', 'Kidney', 'Other', 'Heart', 'Stroke']",True,11.006375360757083,4.5643419046829035,11.324426762950695,4.707878913082936,1.0,1.0
7,LogisticRegression,"['Week', 'Year', 'Fall', 'Winter', 'Spring', 'Summer', 'Influenza_Pneumonia', 'Respiratory', 'Nat_Cause', 'Septicemia', 'Cancer', 'Diabetes', 'Alzheimer', 'COPD', 'Kidney', 'Other', 'Heart', 'Stroke']",True,17.61412913676654,10.368057927425815,18.520065609729336,11.732606613959698,1.0,1.0
8,SGDClassifier,"['Week', 'Year', 'Fall', 'Winter', 'Spring', 'Summer', 'Influenza_Pneumonia', 'Respiratory', 'Nat_Cause', 'Septicemia', 'Cancer', 'Diabetes', 'Alzheimer', 'COPD', 'Kidney', 'Other', 'Heart', 'Stroke']",True,20.621517183434076,16.20658504016536,21.2377645129951,16.77167993944952,1.0,1.0
9,LinearRegression,"['', 'Week^1', 'Year^1', 'Influenza_Pneumonia^1', 'Respiratory^1', 'Nat_Cause^1', 'Septicemia^1', 'Cancer^1', 'Diabetes^1', 'Alzheimer^1', 'COPD^1', 'Kidney^1', 'Other^1', 'Heart^1', 'Stroke^1', 'Week^2', 'Week^1xYear^1', 'Week^1xInfluenza_Pneumonia^1', 'Week^1xRespiratory^1', 'Week^1xNat_Cause^1', 'Week^1xSepticemia^1', 'Week^1xCancer^1', 'Week^1xDiabetes^1', 'Week^1xAlzheimer^1', 'Week^1xCOPD^1', 'Week^1xKidney^1', 'Week^1xOther^1', 'Week^1xHeart^1', 'Week^1xStroke^1', 'Year^2', 'Year^1xInfluenza_Pneumonia^1', 'Year^1xRespiratory^1', 'Year^1xNat_Cause^1', 'Year^1xSepticemia^1', 'Year^1xCancer^1', 'Year^1xDiabetes^1', 'Year^1xAlzheimer^1', 'Year^1xCOPD^1', 'Year^1xKidney^1', 'Year^1xOther^1', 'Year^1xHeart^1', 'Year^1xStroke^1', 'Influenza_Pneumonia^2', 'Influenza_Pneumonia^1xRespiratory^1', 'Influenza_Pneumonia^1xNat_Cause^1', 'Influenza_Pneumonia^1xSepticemia^1', 'Influenza_Pneumonia^1xCancer^1', 'Influenza_Pneumonia^1xDiabetes^1', 'Influenza_Pneumonia^1xAlzheimer^1', 'Influenza_Pneumonia^1xCOPD^1', 'Influenza_Pneumonia^1xKidney^1', 'Influenza_Pneumonia^1xOther^1', 'Influenza_Pneumonia^1xHeart^1', 'Influenza_Pneumonia^1xStroke^1', 'Respiratory^2', 'Respiratory^1xNat_Cause^1', 'Respiratory^1xSepticemia^1', 'Respiratory^1xCancer^1', 'Respiratory^1xDiabetes^1', 'Respiratory^1xAlzheimer^1', 'Respiratory^1xCOPD^1', 'Respiratory^1xKidney^1', 'Respiratory^1xOther^1', 'Respiratory^1xHeart^1', 'Respiratory^1xStroke^1', 'Nat_Cause^2', 'Nat_Cause^1xSepticemia^1', 'Nat_Cause^1xCancer^1', 'Nat_Cause^1xDiabetes^1', 'Nat_Cause^1xAlzheimer^1', 'Nat_Cause^1xCOPD^1', 'Nat_Cause^1xKidney^1', 'Nat_Cause^1xOther^1', 'Nat_Cause^1xHeart^1', 'Nat_Cause^1xStroke^1', 'Septicemia^2', 'Septicemia^1xCancer^1', 'Septicemia^1xDiabetes^1', 'Septicemia^1xAlzheimer^1', 'Septicemia^1xCOPD^1', 'Septicemia^1xKidney^1', 'Septicemia^1xOther^1', 'Septicemia^1xHeart^1', 'Septicemia^1xStroke^1', 'Cancer^2', 'Cancer^1xDiabetes^1', 'Cancer^1xAlzheimer^1', 'Cancer^1xCOPD^1', 'Cancer^1xKidney^1', 'Cancer^1xOther^1', 'Cancer^1xHeart^1', 'Cancer^1xStroke^1', 'Diabetes^2', 'Diabetes^1xAlzheimer^1', 'Diabetes^1xCOPD^1', 'Diabetes^1xKidney^1', 'Diabetes^1xOther^1', 'Diabetes^1xHeart^1', 'Diabetes^1xStroke^1', 'Alzheimer^2', 'Alzheimer^1xCOPD^1', 'Alzheimer^1xKidney^1', 'Alzheimer^1xOther^1', 'Alzheimer^1xHeart^1', 'Alzheimer^1xStroke^1', 'COPD^2', 'COPD^1xKidney^1', 'COPD^1xOther^1', 'COPD^1xHeart^1', 'COPD^1xStroke^1', 'Kidney^2', 'Kidney^1xOther^1', 'Kidney^1xHeart^1', 'Kidney^1xStroke^1', 'Other^2', 'Other^1xHeart^1', 'Other^1xStroke^1', 'Heart^2', 'Heart^1xStroke^1', 'Stroke^2']",True,10.864021179441705,6.379879077716425,10.997754394680864,6.3795910925637065,1.0,1.0
